,Frequency,Percentage
Accounting,32,2.73%
Aerospace,7,0.60%
American/U.S. Law/Legal Studies/Jurisprudence,12,1.02%
Anthropology,5,0.43%
Architecture,3,0.26%
Arts; Entertainment; and Media Management;,4,0.34%
Banking; Corporate; Finance; and Securities Law,12,1.02%
Biology and related major,37,3.16%
Building,1,0.09%
Business,119,10.15%
Chemistry,4,0.34%
Civil Engineering,6,0.51%
Cognitive Science,2,0.17%
Communication studies,20,1.71%
Computer Science,73,6.23%
Construction Management,3,0.26%
Counseling and Human Services,0,0.00%
Criminal Justice,22,1.88%
Criminology,7,0.60%
Cyber Security,17,1.45%
Data,1,0.09%
Digital Marketing,1,0.09%
Economics,10,0.85%
Electrical Engineering,4,0.34%
Engineering,77,6.57%
English ,5,0.43%
Entertainment Management,1,0.09%
Environmental Studies,10,0.85%
Education,47,4.01%
Finance,21,1.79%
Fine Arts,5,0.43%
Fishing and Fisheries Sciences and Management,1,0.09%
Geology or Geography,16,1.37%
Health,30,2.56%
History,11,0.94%
Human Services,4,0.34%
Information,16,1.37%
Intellectual Property Law,9,0.77%
International,17,1.45%
Journalism,1,0.09%
Kinesiology,15,1.28%
Landscape Architecture,2,0.17%
Law,25,2.13%
Leadership,12,1.02%
Logistics,13,1.11%
MBA,9,0.77%
Management,176,15.02%
Marketing,14,1.19%
Mechanical Engineering,26,2.22%
Medical,18,1.54%
Medicine,5,0.43%
Military,1,0.09%
Natural Resource,2,0.17%
Non-Profit/Public/Organizational Management,2,0.17%
Nuclear Engineering,1,0.09%
Nuclear Medicine Residency Program,3,0.26%
Nursing,49,4.18%
Operations Management and Supervision,1,0.09%
Organizational Leadership,7,0.60%
Philosophy,7,0.60%
Physics,5,0.43%
Podiatric Medicine/Podiatry,3,0.26%
Psychology,63,5.38%
Public Relations/Image Management,1,0.09%
Social Work,19,1.62%
Social work ,0,0.00%
Sociology,10,0.85%
Sociology ,10,0.85%
Total,1172,100.00%
