What were your strategic goals for attending SVAs 2021 National Conference? (check all that apply) - Selected Choice - Brand recognition,What were your strategic goals for attending SVAs 2021 National Conference? (check all that apply) - Selected Choice - Marketing research,What were your strategic goals for attending SVAs 2021 National Conference? (check all that apply) - Selected Choice - Networking,What were your strategic goals for attending SVAs 2021 National Conference? (check all that apply) - Selected Choice - Promoting a program or initiative,What were your strategic goals for attending SVAs 2021 National Conference? (check all that apply) - Selected Choice - Recruiting employees,What were your strategic goals for attending SVAs 2021 National Conference? (check all that apply) - Selected Choice - Research,What were your strategic goals for attending SVAs 2021 National Conference? (check all that apply) - Selected Choice - Other,What were your strategic goals for attending SVAs 2021 National Conference? (check all that apply) - Other - Text,What were your primary goal for attending SVAs 2021 National Conference? - Selected Choice,What were your primary goal for attending SVAs 2021 National Conference? - Other - Text,To what degree do you feel your primary goal was achieved?,What additions or changes do you think could be made that would have allowed you to better achieve your goal?,"Based on the amount of traffic and interest you received during the conference, would you bring less, the same, or more personnel to work your booth at SVAs next national conference?",Did you attended one of the breakout or general sessions at NatCon 2021?,Are you or your company/organization interested in submitting a breakout session proposal for consideration for NatCon 2022?,Did you meet any potential future employees at SVA's National Conference?,How many on-site interviews did you conduct at SVA's National Conference?,How many job offers did you make at SVA's National Conference?,Please indicate the degree to which you agree or disagree with the following statements: - All of my logistical needs were met.,Please indicate the degree to which you agree or disagree with the following statements: - I received all the information I needed pre-conference to prepare my exhibit.,Please indicate the degree to which you agree or disagree with the following statements: - I was well informed by SVAs National Conference management via email on what to expect.,"Please indicate the degree to which you agree or disagree with the following statements: - If needed, I knew how to reach technical support.",Please indicate the degree to which you agree or disagree with the following statements: - SVAs National Conference staff was responsive to my needs.,Please indicate the degree to which you agree or disagree with the following statements: - The structure of the SVA National Conference gave me ample time to interact with attendees.,Please indicate the degree to which you agree or disagree with the following statements: - This event was a positive investment for my company / organization.,"Overall, which of the following best describes the traffic on the SVA Campus?","Overall, which of the following best describes the SVA National Conference Campus's exhibit hall hours?",What could SVA have done to make this a stronger investment for your company or organization?,How likely are you to attend the SVA's National Conference in 2022?,Please provide any other comments or suggestions that may help us improve the SVA Campus.
Brand recognition,,Networking,Promoting a program or initiative,,,,,Promoting a program or initiative,,Minor progress in achieving goal,,Less,Yes,Moderately interested,Not Applicable,Not Applicable,Not Applicable,Strongly Agree,Disagree,Neutral ,Strongly Agree,Strongly Agree,Agree,Agree,Extremely slow for my needs,Extremely short amount of time for my needs,,Extremely Likely,
Brand recognition,,Networking,,,,,,Brand recognition,,Completely achieved goal,More time to build our booth. We look forward to NatCon 2022!,Less,No,Extremely interested,Yes ,3,"None, 0",Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Just right for my needs,Just right for my needs,More time and a single point of contact would help our efforts to build our booth. ,,None. 
Brand recognition,,Networking,,,Research,,,Research,,Goal nearly achieved,"I know a printed version of all the resources would be expensive, but it would be helpful for me. Perhaps an email attachment  with all the links with short descriptions. Just having them all in a unified place outside of the event for offline access would be fantastic.",Unsure / Don't Know,Yes,Moderately interested,Yes ,"None, 0","None, 0",Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat slow for my needs,Somewhat short amount of time for my needs,"I think it was harder for people to engage the individual booths between  break out sessions in virtual environment. By the time you finished a break out session, you needed to stretch and step away for a moment. It didn't seem like the students could spend much time in one place if they really wanted to see multiple booths.",Likely ,"I thought the virtual setup was very well done. There were lots of things to explore and great break out sessions. Loved the appearance by Jill Biden. I think we would all prefer to be face to face, but this forum shouldn't be tossed out if we ever do make a return to ""normal"".  I think this virtual booth in tandem with a live event would allow SVA to engage everyone. If it has to be virtual again, maybe consider adding a half a day."
Brand recognition,,Networking,Promoting a program or initiative,,,,,Brand recognition,,Minor progress in achieving goal,Have SVA better advocate on our behalf with their platforms to introduce each brand. ,Less,Yes,Very interested,Don't Know / Unsure,Not Applicable,Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral ,Just right for my needs,Just right for my needs,Increased promotion of organizations prior to the conference. ,Extremely Likely,
Brand recognition,,Networking,Promoting a program or initiative,Recruiting employees,,,,Promoting a program or initiative,,Completely achieved goal,,More,Yes,Extremely interested,Yes ,"None, 0","None, 0",Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Just right for my needs,Somewhat short amount of time for my needs,,Extremely Likely,
Brand recognition,,,,Recruiting employees,,Other,career awareness,Recruiting employees,,Minor progress in achieving goal,"The general chat feature was very difficult to manage, and there was lack of awareness of this chat feature until the morning of the event.   No knowledge of how many people actually visited the booth.  Chat feature in the booth only saw 8 people pop in.  So either elimination of general chat feature, and more communication on number of visits to booth would be helpful to determine if there was value. ",Less,No,Not interested at all,Don't Know / Unsure,"None, 0","None, 0",Agree,Neutral ,Disagree,Agree,Agree,Disagree,Don't Know / Unsure,Extremely slow for my needs,Somewhat short amount of time for my needs,Eliminate the General Chat Feature so that folks visit the booths - provide more time to visit booths; provide booth and access to training for the booth at least one week prior to the event rather than the morning of.,,I am not sure about the question above - we did participate in 2020
,,,Promoting a program or initiative,Recruiting employees,,,,Recruiting employees,,Moderate progress in achieving goal,"More separation between ""employer time"" and ""chapter management time""- attendees were forced to choose between attending breakouts or meeting with potential employers.",More,Yes,Very interested,Yes ,"None, 0","None, 0",Agree,Neutral ,Neutral ,Strongly Agree,Agree,Neutral ,Strongly Agree,Just right for my needs,Somewhat short amount of time for my needs,"More lead time to prepare for our virtual booth, better understanding of the schedule and expectations of a virtual setting, opportunities to showcase hiring programs to a wider audience.",Extremely Likely,We absolutely loved the virtual conference from an employer standpoint. The ability to engage with sessions geared toward certain topics vs. meet and greet style in a physical setting was great. I would highly suggest breaking NatCon into either a hybrid model or have employers do a virtual conference separate from the in-person conference so students can focus on their chapters and breakout sessions. 
Brand recognition,,Networking,,Recruiting employees,,,,Recruiting employees,,No progress towards goal,Perhaps a better virtual conference event. I felt like virtual traffic flow/engagement was quite low.,Unsure / Don't Know,Yes,Moderately interested,No,"None, 0","None, 0",Strongly Disagree,Agree,Neutral ,Neutral ,Strongly Agree,Strongly Disagree,Strongly Disagree,Extremely slow for my needs,Extremely short amount of time for my needs,"Unsure if it was just the virtual nature of the conference, but attendance/turnout was very low. Our company interacted with about 10 individuals total between two days.",Likely ,
Brand recognition,,Networking,Promoting a program or initiative,,,,,Promoting a program or initiative,,Minor progress in achieving goal,"It seemed as though students did not know we were even going to be there.  So for the several hours we ""manned"" our virtual booth - we got 7 people click through to talk to us LIVE. 

We also have not been given a report of who clicked the fishbowl button - so we haven't been able to follow up with anyone.  ",Same,No,Very interested,Not Applicable,Not Applicable,Not Applicable,Neutral ,Disagree,Disagree,Agree,Agree,Disagree,Agree,Extremely slow for my needs,Somewhat long amount of time for my needs,"Better ways to track and know who is coming to our booth virtually.  In person, I'd be able to grab their contact info and have a conversation - this way we're left wondering who stopped by. ",Likely ,
Brand recognition,,,,Recruiting employees,,,,Recruiting employees,,No progress towards goal,"Make interaction easier between company pages and students who enter the room.  We tried to engage unsuccesfully with students.  It was too hard to navigate to pages, and we weren't notified when people entered our company page screen.  I would encourage you to attend other fairs and see how those rooms appear. I have taken part in other virtual fairs where it was much easier to engage with candidates.",Unsure / Don't Know,No,Not interested at all,No,"None, 0","None, 0",,,,,,,,,,,,
,,,Promoting a program or initiative,,,,,Promoting a program or initiative,,Minor progress in achieving goal,,,,,,,,,,,,,,,,,,,
,,,,Recruiting employees,,,,Recruiting employees,,Minor progress in achieving goal,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand recognition,,Networking,,,,,,Networking,,Goal nearly achieved,,Same,No,Very interested,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
,,,,Recruiting employees,,,,Recruiting employees,,Minor progress in achieving goal,"The difficulty with the chat rooms were hard to navigate.  We had to balance between adding on LinkedIn, forwarding the zoom information there, then hopping back into the Raytheon Booth in order to bring them in.  We made it work, but it was clumsy.  

Make the Booth chat rooms larger and allow private messages from the Booth employees to only people in the booth room.  I did not see a list of ""here is everyone currently in the booth"" anywhere.  I may have missed it.  ",Same,Yes,,Yes,5,Not Applicable,Neutral ,Not Applicable,Neutral ,Agree,Not Applicable,Strongly Agree,Not Applicable,Just right for my needs,Just right for my needs,N/A. I am only a RayVETS volunteer.  I cannot speak to this.,Extremely Likely,
,,,Promoting a program or initiative,,,,,,,Minor progress in achieving goal,"It would have been helpful to have a better idea of HOW the booth would work so we could have had a better strategy developed to supply materials, videos, appointments and presentations.  I do not know if there are metrics available from the back end of the booth that shows aggregate data of how many visited (not just those who allowed their info to be collected). ",Unsure / Don't Know,Yes,,Not Applicable,Not Applicable,Not Applicable,Neutral ,Strongly Disagree,Neutral ,Agree,Strongly Agree,Don't Know / Unsure,Don't Know / Unsure,Extremely slow for my needs,Just right for my needs,"I am not sure if this is an SVA issue or an internal to my organization issue because I was not the one setting up the content of our booth.  I needed more information on HOW the booth worked so I could advocate internal to my organization about strategies we could employ to engage the full range of participants--those who wanted to chat, those who wanted to attend a live session and those who wanted to lurk and pick up info.  I think we missed an opportunity to have more bells and whistles available to meet the continuum of needs.",Unsure,
Brand recognition,,Networking,Promoting a program or initiative,Recruiting employees,,,,Recruiting employees,,Minor progress in achieving goal,We didn't have much traffic into our booth. Most of the individuals stayed in the main chat. Not sure if other employers had this same situation occur but maybe having more specific booth breakouts. ,Less,Yes,Moderately interested,Don't Know / Unsure,"None, 0","None, 0",,,,,,,Neutral ,Somewhat slow for my needs,Somewhat short amount of time for my needs,,Likely ,
Brand recognition,,Networking,,Recruiting employees,,,,Recruiting employees,,No progress towards goal,I think maybe having the conference earlier in the week vs the weekend would allow more students to attend.  ,Same,Yes,Slightly interested,No,"None, 0","None, 0",Neutral ,Neutral ,Neutral ,Agree,Agree,Neutral ,Agree,Somewhat slow for my needs,Just right for my needs,I think maybe having scheduled times for each company to have breakout sessions might be helpful.  This way students can learn a bit about each company and each company gets exposure.,Extremely Likely,Thank you for the box of goodies.  It was a great touch!
